Row Labels,Flags,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Georgia,https://www.countryflags.io/ge/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,77,"61,7","38,5",34,"33,2","47,234","60,33",24,23,24,"24,457",20,"22,755","6,6","7,5","5,4","5,8","3,5","2,9","2,6","3,3","1,8","2,1",3,"2,3","1,7"
Guatemala,https://www.countryflags.io/gt/flat/64.png,,,,,,,,,,,,40,50,60,100,130,60,70,110,100,130,100,130,130,220,330,339,433,457,460,450,435,440,434,450,430,425,431,460,450,103,143,176,147,266,281,649,679,639,628,432,420,437,526,553,558,519,543
India,https://www.countryflags.io/in/flat/64.png,"354,397","346,736","346,413","372,486","366,374","375,983","384,759","402,489","393,588","418,517","435,468","455,996","471,952","489,475","487,137","511,817","556,267","563,846","543,776","569,55","559,583","560,732","581,484","639,864","656,162","620,803","620,8","674,3","701,1","688,1","720,3","754,2","703,9",753,"753,9",756,780,810,874,826,847,854,846,879,907,949,973,987,"972,7","991,182","1,095,460","1,135,070","1,208,780","1,207,310","1,233,140","1,250,490","1,325,050","1,344,827"
Indonesia,https://www.countryflags.io/id/flat/64.png,"77,1","80,4","75,6","74,4","79,8","71,7","76,02","75,574","71,57","64,166","60,922","59,924","67,584","65,017","70,089","73,765","82,928","92,11","97,217","106,175","109,135","92,732","110,317","126,443","127,464","129,481","126,096","133,8","141,374","155,919","139,52","153,701","164,994","139,222","154,013","166,256","153,6","166,8",161,"162,586","166,867","165,194","169,818","167,136","167,276","146,858","150,623","153,971","156,901","150,342","146,603","143,413","145,855","154,369","132,615","144,015","139,362","141,342"
Iran,https://www.countryflags.io/ir/flat/64.png,"10,922","11,934","12,479","10,45","12,608",12,16,20,19,"19,5",16,22,23,24,18,"19,8","26,1",27,"30,6","32,2","33,1","35,265","36,258","43,372","33,12","40,532","43,026","43,268","27,808","37,091","196,651","245,338","254,288","248,228","242,642","277,188","309,342","270,443","275,381","222,653","228,393","212,538","212,168","134,179","197,27","112,803","162,737","141,16","130,714","121,041","112,084","103,89","97,475","72,277","196,957","132,603","100,58","109,357"
Japan,https://www.countryflags.io/jp/flat/64.png,"81,527","77,608","81,239","83,427","77,571","83,29","85,284","85,112","89,804","91,398","93,111","95,072","101,181","95,238","105,448","100,097","102,301","104,738",98,"102,3","102,3","98,5","102,7","92,5","95,5","93,6","96,3","89,8","90,5","89,9","87,8","92,1","92,1","86,3","84,8","88,6","91,2","82,6","88,5",85,85,84,"91,9","100,7",100,"91,8","94,1","96,5",86,85,"82,1","85,9","84,8","83,6","79,5","80,2",82,"83,052"
Kenya,https://www.countryflags.io/ke/flat/64.png,"12,641","16,428","18,082","20,241","19,823","25,419","22,812","29,764","36,06","41,077","36,29","53,322","56,578","53,44","56,73","61,984","86,291","93,373","99,275","89,893","90,941","95,6","119,3","116,2","147,1","143,317","155,808","164,03","180,602",197,"203,588","188,07","211,16","209,42","244,53","257,16","220,722","294,165","248,7","236,286","294,62","287,045","293,67","324,6","328,5","310,58","369,6","345,8","314,198","399,006","377,912","369,4","432,4","445,105","399,1",473,"439,857","492,99"
Lao People's Democratic Republic,,,,,,,,,,,,,,,,,61,65,63,68,290,110,115,133,145,480,650,502,"1,371",740,"1,616","1,705",1,"1,475","1,943",764,101,110,260,350,307,160,172,225,320,300,153,260,560,470,582,802,"3,975","6,105","7,935","6,295","7,3","7,66","8,055"
Madagascar,https://www.countryflags.io/mg/flat/64.png,,,,,,,,,,,,,,30,60,80,100,120,150,200,220,220,220,240,240,250,250,260,270,280,315,290,400,300,335,338,320,312,400,490,441,516,570,365,351,353,374,246,319,382,380,382,384,385,382,381,384,387
Malawi,https://www.countryflags.io/mw/flat/64.png,"14,288","13,336","11,929","12,383","12,973","15,377","16,828","15,83","16,919","18,733","18,597","20,684","23,6","23,405","26,238","28,307","31,628","31,69","32,609","29,915","31,965","38,484","32,011","37,53","39,954","38,973","31,908","40,157","39,469","38,921","40,501","28,136","39,495","35,141","34,182","34,8","29,7","40,362","38,5","42,4","36,8","39,2","41,693","50,09",38,"45,009","48,14","41,637","52,555","51,589","47,006","42,49","46,46","45,48","47,633","48,468","48,649","49,041"
Malaysia,https://www.countryflags.io/my/flat/64.png,"2,635","2,839","2,731","3,108","3,351","3,446","3,095","3,468","3,488","3,381","3,325","3,365","3,462","3,237","3,066","3,206","3,542","3,451","3,171","3,281","3,438","3,188","3,328","5,478","5,3","5,365","4,83","4,83","4,83","6,2",7,"5,9",6,"5,4",6,6,6,"4,6","5,9","5,642","5,413","5,1","4,125","3,9","2,85","6,213","5,54","9,548","7,223","19,738","16,632","14,711","12,094","11,923","11,13","11,708","10,385","10,869"
Mali,https://www.countryflags.io/ml/flat/64.png,,,,,,,,,,,,,,60,80,80,90,100,110,64,98,76,80,83,87,89,55,83,317,159,92,115,277,196,202,69,50,60,85,82,50,70,90,110,135,135,135,118,114,107,103,98,89,89,88,83,79,77
Mauritius,https://www.countryflags.io/mu/flat/64.png,"1,274","1,27","1,418","1,382","1,738","1,976","2,19","2,31","3,197","3,24","4,089","4,678","4,079","3,984","3,139","4,334","4,727","5,186","5,072","4,386","5,052","5,287","6,142","8,021","8,115","7,875","7,147","6,854","5,5","5,751","5,918","5,845","5,931","5,089","3,785","2,497","1,787","1,488","1,473","1,312","1,517","1,381","1,436","1,482","1,387","1,567","1,563","1,668","1,481","1,467","1,787","1,577","1,563","1,504","1,295","1,353","1,379","1,47"
Montenegro,https://www.countryflags.io/me/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100
Mozambique,https://www.countryflags.io/mz/flat/64.png,"8,1","8,1","8,6","9,005","10,746","13,983","14,419","14,25","16,054","16,972","16,536","18,678","18,795","17,639","13,143","13,825",17,"18,069","18,9","19,5","22,19",21,15,11,7,5,3,"1,5","2,5",4,"4,941","1,018","1,673",2,976,"1,67","1,5","1,5","1,6","10,466","9,029","12,579","12,69","15,127",16,"16,256","16,256","16,866",30,"28,995",27,22,"25,428","28,84",32,"31,717",32,"32,921"
Myanmar,https://www.countryflags.io/mm/flat/64.png,"5,2","5,2","5,3","8,6","10,5","11,1","11,3","10,9","10,9","10,9",11,"11,6","14,1",14,14,14,"14,8","14,3","12,4","12,6","12,8","13,8",19,"14,9","15,5","15,1","14,1","14,9","14,7","14,9","47,3","50,2","53,7","51,9","52,4","54,6","65,8","60,5","61,7",63,"67,2","69,2","73,4","75,6",79,83,87,90,"92,6","94,5","92,5","94,6","96,3","98,6","100,15","102,404","104,743","109,043"
Nepal,https://www.countryflags.io/np/flat/64.png,,,,,,,,,,,,,,254,366,395,413,326,387,535,625,714,827,989,"1,052","1,112","1,29","1,184","1,393","1,249","1,476","1,636","1,993","2,351","2,457","2,721","2,906","3,02","4,493","5,085","6,638","7,518","8,198","11,651","12,5","13,043","15,168","16,16","16,208","16,607","17,438","18,726","20,588","21,394","21,394","23,821","24,653","24,803"
Panama,https://www.countryflags.io/pa/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,73,152,123,134,162,98,196,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
Papua New Guinea,https://www.countryflags.io/pg/flat/64.png,10,10,10,10,15,15,39,74,330,749,"1,211","2,195","3,025","4,155","4,714","4,984","6,5","6,319","8,034","8,361","8,691","8,487","10,193","9,845","8,08",8,8,8,8,"6,985","8,5",9,"8,7","8,5","4,699","5,113","5,156","7,26","6,2","6,2","6,1","6,2","6,4","6,5","6,6","6,6","6,5",6,"6,4","6,201","5,943","5,905","5,857","5,8","5,741","5,685","5,631","5,589"
Peru,https://www.countryflags.io/pe/flat/64.png,"1,239","1,212","1,22","1,29","1,365","1,7","1,695","1,875","2,175","1,808","2,408","2,581","2,464","2,817","2,988","3,179","2,976","2,347","2,602","2,112","2,031","1,758","1,676","1,61","1,693","1,914","1,896","1,827","1,732","1,648","1,648","1,394","1,743","7,155","5,51","9,403","10,431","7,397","6,964","6,259","6,478","6,349","5,634","1,548","4,236","4,82","3,597","4,009","3,169","3,214","3,158","3,434","4,319","3,874","3,785","3,307","2,177","1,085"
Portugal,https://www.countryflags.io/pt/flat/64.png,128,250,300,300,300,350,400,500,400,300,300,400,300,300,260,242,267,318,319,225,190,169,231,182,146,199,185,189,198,184,129,69,21,40,82,63,25,24,120,102,106,105,116,125,112,115,125,125,125,120,70,57,58,62,89,84,78,84
R̩union,,100,100,100,100,110,110,110,120,150,195,195,195,200,200,210,210,220,220,250,270,290,290,300,310,320,330,340,340,350,359,360,370,389,403,417,431,445,460,475,491,507,524,541,560,580,601,623,646,672,698,727,750,800,835,832,865,892,919
South Korea,https://www.countryflags.io/KR/flat/64.png,50,50,50,70,70,80,80,100,150,276,270,245,168,232,200,200,200,200,200,200,200,200,300,350,400,500,500,500,400,254,726,700,698,740,699,947,1,"1,47","1,109","1,434","1,351","1,477","1,5","1,5","1,4","1,4","1,3","2,2","2,4","2,289","2,244","2,202","2,263","2,431","2,575","2,562","2,637","2,712"
Russia,https://www.countryflags.io/ru/flat/64.png,"39,592","43,831","47,922","47,457","48,265","58,359","57,477","56,105","59,927","66,812","68,649","71,32","74,823","80,826","86,314","91,949","106,355","111,23","117,6","129,85","136,5","140,4","145,5","151,2","152,4",146,156,"122,5",131,"135,7","119,7","7,24","7,63","3,96","4,35","2,38","1,63","1,48","1,93","1,52","1,24","1,29",870,"1,24","1,26","1,15",630,820,630,370,267,90,90,222,246,449,554,504
Rwanda,https://www.countryflags.io/rw/flat/64.png,160,210,300,320,340,348,430,830,976,"1,245","1,819","2,396","2,803","3,432","3,995","4,976","5,356","5,342","5,67","6,627","6,846","7,1","6,67","8,1","10,8","10,35","11,677","12,286","12,975","12,854","13,546","13,644","11,181","4,136","5,414","9,057","13,239","14,875","12,959","14,481","17,815","14,893","15,484","14,493","16,458","16,976","20,474","19,965","20,535","22,249","24,066","22,503","22,185","24,751","25,284","25,628","27,887","31,068"
Seychelles,https://www.countryflags.io/sc/flat/64.png,10,10,13,13,15,15,17,19,21,23,25,27,29,36,45,45,43,43,46,42,43,37,131,86,117,136,109,106,150,219,241,224,246,246,226,223,270,250,236,246,231,222,261,214,219,189,222,137,63,49,38,28,21,27,16,17,13,15
